alpha,L1,L2,L3,e1,e2,e3
0.532,-0.04519065000822786,1.187115887378985,-1.209298960667379,10.69626507053978,0.315641965047363,0.01022716995676761
0.533,-0.04660378812697341,1.186757285123953,-1.2096322791199006,10.394702488813081,0.3163359477774275,0.010293255585484109
0.534,-0.04801701239361644,1.186398350593383,-1.2099651449184015,10.110882692567817,0.3170303482406918,0.010359682784452363
0.535,-0.04943032546029491,1.1860390853192757,-1.2102975558941598,9.843284852593438,0.3177251668544233,0.010426453156954443
0.536,-0.05084372998290332,1.1856794908262593,-1.2106295098663074,9.590557120702728,0.31842040403593896,0.010493568315899484
0.537,-0.052257228621211405,1.185319568631647,-1.2109610046417378,9.351493794457161,0.3191160602026003,0.010561029883902671
0.538,-0.05367082403897616,1.1849593202454802,-1.2112920380150116,9.125016087463225,0.3198121357718194,0.010628839493367088
0.539,-0.055084518904062296,1.184598747170575,-1.211622607768231,8.910155858083337,0.32050863116106565,0.010696998786590434
0.54,-0.05649831588855303,1.1842378509025848,-1.211952711670981,8.706041778841653,0.3212055467878493,0.010765509415817156
0.541,-0.05791221766887378,1.183876632930032,-1.2122823474801998,8.511887529817535,0.32190288306974224,0.010834373043348632
0.542,-0.0593262269259055,1.183515094734368,-1.2126115129400865,8.32698167869853,0.3226006404243658,0.010903591341623785
0.543,-0.06074034634510317,1.1831532377900178,-1.2129402057820076,8.15067897291838,0.32329881926939397,0.01097316599329921
0.544,-0.062154578616617884,1.1827910635644283,-1.213268423724375,7.982392819230389,0.3239974200225546,0.011043098691353979
0.545,-0.06356892643541179,1.1824285735181097,-1.2135961644725581,7.821588766005249,0.32469644310163565,0.011113391139166042
0.546,-0.06498339250138041,1.18206576910469,-1.2139234257187737,7.6677788356631185,0.32539588892447713,0.011184045050607362
0.547,-0.0663979795194719,1.1817026517709577,-1.2142502051419881,7.520516580625439,0.3260957579089763,0.01125506215012785
0.548,-0.06781269019980785,1.1813392229569066,-1.2145765004077882,7.379392757272656,0.3267960504730889,0.011326444172867147
0.549,-0.06922752725780701,1.1809754840957845,-1.2149023091682851,7.2440315296211795,0.3274967670348268,0.01139819286473738
0.55,-0.07064249341430251,1.1806114366141334,-1.2152276290620214,7.114087128559766,0.3281979080122636,0.011470309982504406
0.551,-0.07205759139567025,1.18024708193184,-1.2155524577138266,6.989240904115949,0.32889947382352946,0.011542797293911621
0.552,-0.07347282393394727,1.1798824214621735,-1.2158767927347323,6.869198717846525,0.32960146488681913,0.011615656577754123
0.553,-0.07488819376696065,1.1795174566118334,-1.2162006317218492,6.753688630428278,0.3303038816203873,0.011688889623984948
0.554,-0.07630370363844663,1.179152188780997,-1.216523972258243,6.642458846183879,0.33100672444254625,0.0117624982338225
0.555,-0.07771935629817917,1.1787866193633536,-1.216846811912847,6.5352758818406755,0.3317099937716759,0.011836484219826821
0.556,-0.0791351545020964,1.1784207497461532,-1.2171691482403144,6.431922931494095,0.332413690026218,0.011910849406026783
0.557,-0.08055110101242546,1.1780545813102474,-1.2174909787809152,6.332198403680315,0.3331178136246784,0.011985595628010036
0.558,-0.08196719859780954,1.1776881154301337,-1.2178123010604203,6.235914609786148,0.33382236498562634,0.012060724733023585
0.559,-0.08338345003343905,1.1773213534739937,-1.2181331125899746,6.142896585840747,0.3345273445276976,0.012136238580083872
0.56,-0.0847998581011784,1.1769542968037359,-1.2184534108659726,6.0529810321284705,0.33523275266959496,0.012212139040084759
0.561,-0.08621642558969322,1.176586946775037,-1.218773193369946,5.966015357102114,0.335938589830088,0.012288427995895416
0.562,-0.08763315529458704,1.1762193047373843,-1.2190924575684272,5.881856813820196,0.33664485642801173,0.012365107342478466
0.563,-0.08905005001852562,1.1758513720341117,-1.219411200912836,5.800371718629012,0.3373515528822731,0.012442178986989537
0.564,-0.09046711257137297,1.1754831500024467,-1.2197294208393408,5.721434743092673,0.33805867961184294,0.01251964484889687
0.565,-0.09188434577032467,1.1751146399735402,-1.2200471147687457,5.644928271283634,0.3387662370357684,0.0125975068600807
0.566,-0.09330175244003958,1.1747458432725182,-1.2203642801063292,5.570741815501477,0.3394742255731591,0.012675766964972345
0.567,-0.09471933541277389,1.1743767612185072,-1.2206809142417618,5.498771484315299,0.3401826456432044,0.012754427120628032
