alpha,L1,L2,L3
0.760000,-0.866984,0.556819,-1.865695
0.761000,-0.867585,0.557085,-1.865573
0.762000,-0.868186,0.557351,-1.865451
0.763000,-0.868786,0.557617,-1.865330
0.764000,-0.869386,0.557883,-1.865209
0.765000,-0.869986,0.558148,-1.865088
0.766000,-0.870586,0.558414,-1.864966
0.767000,-0.871185,0.558679,-1.864845
0.768000,-0.871784,0.558944,-1.864725
0.769000,-0.872382,0.559210,-1.864604
0.770000,-0.872980,0.559475,-1.864483
0.771000,-0.873578,0.559739,-1.864363
0.772000,-0.874175,0.560004,-1.864242
0.773000,-0.874772,0.560269,-1.864122
0.774000,-0.875369,0.560533,-1.864001
0.775000,-0.875965,0.560798,-1.863881
0.776000,-0.876562,0.561062,-1.863761
0.777000,-0.877157,0.561326,-1.863641
0.778000,-0.877753,0.561590,-1.863522
0.779000,-0.878348,0.561854,-1.863402
0.780000,-0.878942,0.562118,-1.863282
0.781000,-0.879537,0.562382,-1.863163
0.782000,-0.880131,0.562646,-1.863043
0.783000,-0.880724,0.562909,-1.862924
0.784000,-0.881318,0.563172,-1.862805
0.785000,-0.881911,0.563436,-1.862686
0.786000,-0.882503,0.563699,-1.862567
0.787000,-0.883096,0.563962,-1.862448
0.788000,-0.883688,0.564225,-1.862329
0.789000,-0.884279,0.564488,-1.862210
0.790000,-0.884871,0.564750,-1.862092
0.791000,-0.885461,0.565013,-1.861973
0.792000,-0.886052,0.565275,-1.861855
0.793000,-0.886642,0.565538,-1.861736
0.794000,-0.887232,0.565800,-1.861618
0.795000,-0.887822,0.566062,-1.861500
0.796000,-0.888411,0.566324,-1.861382
0.797000,-0.888999,0.566586,-1.861264
0.798000,-0.889588,0.566848,-1.861146
0.799000,-0.890176,0.567110,-1.861029
0.800000,-0.890764,0.567371,-1.860911
0.801000,-0.891351,0.567633,-1.860794
0.802000,-0.891938,0.567894,-1.860676
0.803000,-0.892525,0.568156,-1.860559
0.804000,-0.893111,0.568417,-1.860442
0.805000,-0.893697,0.568678,-1.860325
0.806000,-0.894282,0.568939,-1.860208
0.807000,-0.894867,0.569200,-1.860091
0.808000,-0.895452,0.569460,-1.859974
0.809000,-0.896037,0.569721,-1.859857
0.810000,-0.896621,0.569982,-1.859741
0.811000,-0.897205,0.570242,-1.859624
0.812000,-0.897788,0.570503,-1.859508
0.813000,-0.898371,0.570763,-1.859392
0.814000,-0.898953,0.571023,-1.859276
0.815000,-0.899536,0.571283,-1.859160
0.816000,-0.900118,0.571543,-1.859044
0.817000,-0.900699,0.571803,-1.858928
0.818000,-0.901280,0.572063,-1.858812
0.819000,-0.901861,0.572322,-1.858696
0.820000,-0.902441,0.572582,-1.858581
0.821000,-0.903021,0.572841,-1.858465
0.822000,-0.903601,0.573101,-1.858350
0.823000,-0.904180,0.573360,-1.858235
0.824000,-0.904759,0.573619,-1.858119
0.825000,-0.905337,0.573878,-1.858004
0.826000,-0.905916,0.574137,-1.857889
0.827000,-0.906493,0.574396,-1.857774
0.828000,-0.907071,0.574655,-1.857660
0.829000,-0.907648,0.574913,-1.857545
0.830000,-0.908224,0.575172,-1.857430
0.831000,-0.908800,0.575430,-1.857316
0.832000,-0.909376,0.575689,-1.857201
0.833000,-0.909951,0.575947,-1.857087
0.834000,-0.910527,0.576205,-1.856973
0.835000,-0.911101,0.576464,-1.856859
0.836000,-0.911675,0.576722,-1.856745
0.837000,-0.912249,0.576979,-1.856631
0.838000,-0.912823,0.577237,-1.856517
0.839000,-0.913396,0.577495,-1.856403
0.840000,-0.913969,0.577753,-1.856290
0.841000,-0.914541,0.578010,-1.856176
0.842000,-0.915113,0.578268,-1.856063
0.843000,-0.915684,0.578525,-1.855949
0.844000,-0.916255,0.578782,-1.855836
0.845000,-0.916826,0.579040,-1.855723
0.846000,-0.917396,0.579297,-1.855610
0.847000,-0.917966,0.579554,-1.855497
0.848000,-0.918536,0.579811,-1.855384
0.849000,-0.919105,0.580068,-1.855272
0.850000,-0.919674,0.580324,-1.855159
0.851000,-0.920242,0.580581,-1.855046
0.852000,-0.920810,0.580838,-1.854934
0.853000,-0.921377,0.581094,-1.854821
0.854000,-0.921944,0.581351,-1.854709
0.855000,-0.922511,0.581607,-1.854597
0.856000,-0.923077,0.581863,-1.854485
0.857000,-0.923643,0.582119,-1.854373
0.858000,-0.924209,0.582375,-1.854261
0.859000,-0.924774,0.582631,-1.854149
0.860000,-0.925339,0.582887,-1.854038
0.861000,-0.925903,0.583143,-1.853926
0.862000,-0.926467,0.583399,-1.853814
0.863000,-0.927030,0.583654,-1.853703
0.864000,-0.927593,0.583910,-1.853592
0.865000,-0.928156,0.584165,-1.853480
0.866000,-0.928718,0.584421,-1.853369
0.867000,-0.929280,0.584676,-1.853258
0.868000,-0.929841,0.584931,-1.853147
0.869000,-0.930402,0.585187,-1.853037
0.870000,-0.930963,0.585442,-1.852926
0.871000,-0.931523,0.585697,-1.852815
0.872000,-0.932082,0.585952,-1.852705
0.873000,-0.932642,0.586206,-1.852594
0.874000,-0.933201,0.586461,-1.852484
0.875000,-0.933759,0.586716,-1.852373
0.876000,-0.934317,0.586971,-1.852263
0.877000,-0.934875,0.587225,-1.852153
0.878000,-0.935432,0.587479,-1.852043
0.879000,-0.935988,0.587734,-1.851933
0.880000,-0.936545,0.587988,-1.851823
0.881000,-0.937101,0.588242,-1.851714
0.882000,-0.937656,0.588497,-1.851604
0.883000,-0.938211,0.588751,-1.851494
0.884000,-0.938766,0.589005,-1.851385
0.885000,-0.939320,0.589258,-1.851275
0.886000,-0.939874,0.589512,-1.851166
0.887000,-0.940427,0.589766,-1.851057
0.888000,-0.940980,0.590020,-1.850948
0.889000,-0.941532,0.590273,-1.850839
0.890000,-0.942084,0.590527,-1.850730
0.891000,-0.942636,0.590780,-1.850621
0.892000,-0.943187,0.591034,-1.850512
0.893000,-0.943738,0.591287,-1.850404
0.894000,-0.944288,0.591540,-1.850295
0.895000,-0.944838,0.591793,-1.850187
0.896000,-0.945387,0.592047,-1.850078
0.897000,-0.945936,0.592300,-1.849970
0.898000,-0.946485,0.592553,-1.849862
0.899000,-0.947033,0.592805,-1.849754
0.900000,-0.947580,0.593058,-1.849646
0.901000,-0.948128,0.593311,-1.849538
